PRN No.,DSA(CSE2001) CAT1 (50),DSA(CSE2001) CAT2 (50),DSA(CSE2001) FAT (60),DSA(CSE2001)Grade,DMS(MAT1003) CAT1 (50),DMS(MAT1003)CAT2 (50),DMS(MAT1003)FAT (60),FEEE(ECE1002)CAT1 (50),FEEE(ECE1002) CAT2 (50),FEEE(ECE1002) FAT (60),FEEE(ECE1002) Lab (40),FEEE(ECE1002) Total (200),FEEE(ECE1002)Grade,ED(MEC1004) CAT1 (50),ED(MEC1004)CAT2 (50),ED(MEC1004)FAT (60),ED(MEC1004)Lab (40),ED(MEC1004) Total (200),CG(CSE2006) CAT1 (50),CG(CSE2006)CAT2 (50),CG(CSE2006)FAT (60),CG(CSE2006) Total (160),CG(CSE2006) Grade,FSM(MGT1020)FAT (60),FSM(MGT1020) Lab (40),FSM(MGT1020)Grade,DAA(CSE3004) CAT1 (50),DAA(CSE3004)  CAT2 (50),DAA(CSE3004) FAT (60),DAA(CSE3004) Grade,LSM(MGT1002) CAT1 (50),LSM(MGT1002) CAT2 (50),LSM(MGT1002) FAT (60),LSM(MGT1002) Grade,ADDA(MAT1002) CAT1 (50),ADDA(MAT1002) CAT2 (50),ADDA(MAT1002) FAT (60),ADDA(MAT1002) Lab (40),ADDA(MAT1002) Total (200),CSDF(CSE2011) CAT1 (50),CSDF(CSE2011) CAT2 (50),CSDF(CSE2011) FAT (60),CSDF(CSE2011) Lab (40),CSDF(CSE2011) Total (200),CN(CSE3003) CAT1 (50),CN(CSE3003) CAT2 (50),CN(CSE3003) FAT (60),CN(CSE3003) Total (160),CN(CSE3003) Grade,OOP(CSE2005) FAT (60),OOP(CSE2005) Lab (40),OOP(CSE2005) Grade,OS(CSE2008) CAT1 (50),OS(CSE2008) CAT2 (50),OS(CSE2008) FAT (60),OS(CSE2008) Lab (40),OS(CSE2008) Total (200),OS(CSE2008) Grade,SE(CSE1005) CAT1 (50),SE(CSE1005) CAT2 (50),SE(CSE1005) FAT (60),SE(CSE1005) Grade,DBMS(CSE2007) CAT1 (50),DBMS(CSE2007) CAT2 (50),DBMS(CSE2007) FAT (60),DBMS(CSE2007) Lab (40),DBMS(CSE2007) Total (200),DBMS(CSE2007) Grade,TBL(MGT1027) FAT (60),TBL(MGT1027) Lab (40),TBL(MGT1027) Grade,WT(CSE4004) CAT1 (50),WT(CSE4004) CAT2 (50),WT(CSE4004) Total (160),WT(CSE4004) Grade,CP(CSE3032) CAT1 (50),CP(CSE3032) CAT2 (50),CP(CSE3032) FAT (60),CP(CSE3032) Grade,OT(MAT2003) CAT1 (50),OT(MAT2003) CAT2 (50),OT(MAT2003) FAT (60),OT(MAT2003) Total (160),OT(MAT2003) Grade,NP(CSE3011) CAT1 (50),NP(CSE3011) CAT2 (50),NP(CSE3011) FAT (60),NP(CSE3011) Total (160),NP(CSE3011) Grade,MAD(CSE4002) CAT1 (50),MAD(CSE4002) CAT2 (50),MAD(CSE4002) Lab (40),MAD(CSE4002) Total (200),C(ONL1002) FAT (60),C(ONL1002) Lab (40),C(ONL1002) Grade,AFE(MGT1008) CAT1 (50),AFE(MGT1008) CAT2 (50),AFE(MGT1008) Total (160),AFE(MGT1008) Grade,STAT(MAT1001) ESTAT (70),STAT(MAT1001) ISTAT (30),STAT(MAT1001) FAT (60),STAT(MAT1001) Total (160),STAT(MAT1001) Grade, Sem-VI Total (940),NLP(CSE3015) CAT1 (50),NLP(CSE3015) CAT2 (50),NLP(CSE3015) Total (160),NLP(CSE3015) Grade,IML(CSE3008) CAT1 (50),IML(CSE3008) CAT2 (50),IML(CSE3008) FAT (60),OPTO(PHY2004) CAT1 (50),OPTO(PHY2004) CAT2 (50),OPTO(PHY2004) FAT (60),OPTO(PHY2004) Lab (40),OPTO(PHY2004) Total (200),OPTO(PHY2004) Grade,NANO(PHY2005) FAT (60),NANO(PHY2005) Lab (40),NANO(PHY2005) Grade,FRENCH-I(FRL1001) FAT (60),FRENCH-I(FRL1001) Lab (40),FRENCH-I(FRL1001) Total (100),FRENCH-I(FRL1001) Grade,LA(MAT2005) CAT1 (50),LA(MAT2005) CAT2 (50),LA(MAT2005) Total (100),LA(MAT2005) Grade,EVS(CHY1001) CAT1 (50),EVS(CHY1001) CAT2 (50),EVS(CHY1001) FAT (60),EVS(CHY1001) Total (160),EVS(CHY1001) Grade,NME(MAT2001) CAT1 (50),NME(MAT2001) CAT2 (50),NME(MAT2001) FAT (60),NME(MAT2001) Total (160),NME(MAT2001) Grade,ITC(CSE2013) CAT1 (50),ITC(CSE2013) CAT2 (50),ITC(CSE2013) FAT (60),ITC(CSE2013) Lab (40),ITC(CSE2013) Total (200),ITC(CSE2013) Grade,COA(ECE2002) FAT (60),COA(ECE2002) Lab (40),COA(ECE2002) Grade,SNA(CSE4008)  CAT1 (50),SNA(CSE4008) CAT2 (50),SNA(CSE4008) FAT (60),SNA(CSE4008) Total (160),SNA(CSE4008) Grade,FOM(MGT1003) CAT1 (50),FOM(MGT1003) CAT2 (50)
O80,23,26,24,4,43,26,22,28,24,19,30,101,3,34,20,21,39,114,44,23,23,90,5,22,43,6,28,27,24,4,37,19,16,3,29,21,16,42,108,32,21,22,41,116,20,22,21,63,1,24,40,6,38,29,24,40,131,5,28,28,23,4,22,29,24,35,116,4,24,43,6,28,28,79,4,28,28,23,4,28,26,22,76,4,42,29,24,95,5,36,25,40,122,23,40,6,31,28,82,4,28,25,24,77,4,606,33,28,84,4,30,26,22,34,28,23,43,128,5,20,46,6,24,46,70,6,33,29,62,4,34,28,23,85,4,70,29,24,123,6,70,29,24,46,169,6,23,46,6,70,29,24,123,6,67,29
O76,35,29,24,5,43,23,20,28,20,16,32,96,4,40,26,18,30,114,37,23,18,78,4,23,44,6,45,25,20,5,40,25,17,4,47,25,21,36,129,42,27,22,44,135,28,14,17,59,2,22,40,6,40,28,23,39,130,5,36,24,21,4,33,22,18,44,117,4,23,43,6,24,24,72,3,39,24,20,4,47,24,20,91,5,41,28,23,92,5,31,28,43,125,24,40,6,28,28,79,4,28,28,23,79,4,618,33,25,79,4,41,28,24,36,29,24,46,135,5,23,45,6,22,45,67,6,28,29,57,3,43,25,21,89,5,63,28,24,115,6,70,29,24,48,171,6,24,46,6,65,29,24,118,6,53,28
O10,33,30,24,4,44,29,24,49,30,24,48,151,6,40,28,24,48,140,32,28,24,84,4,24,47,6,28,30,24,4,44,25,22,5,43,28,24,49,144,43,27,24,46,140,32,30,24,86,4,24,46,6,44,29,24,47,144,6,43,29,24,5,55,27,22,46,150,6,24,45,6,41,26,89,5,26,26,22,4,35,29,24,88,5,37,29,24,90,5,53,28,43,147,24,47,6,39,28,90,5,37,29,24,90,5,674,32,29,85,4,40,29,24,41,28,23,49,141,6,24,48,6,24,49,73,6,47,29,76,5,34,29,24,87,4,70,29,24,123,6,68,29,24,49,170,6,24,48,6,70,29,24,123,6,49,29
W32,43,19,24,4,30,19,20,32,19,19,33,103,3,41,25,16,28,110,36,19,18,73,3,17,34,4,19,12,13,1,28,21,18,4,28,20,17,25,90,28,20,17,34,99,32,21,21,74,3,19,18,1,43,25,18,40,126,5,28,22,21,3,37,26,20,39,122,4,20,30,5,36,24,80,4,31,21,16,4,29,23,20,72,3,38,23,21,82,4,39,26,42,129,21,37,5,30,16,60,2,30,21,18,69,3,550,46,25,92,5,36,21,20,40,23,21,28,112,4,21,38,5,23,44,66,6,28,20,48,2,43,20,20,83,4,70,26,22,118,6,70,21,18,33,142,6,21,42,6,60,21,21,102,6,70,28
W13,28,19,20,4,33,23,20,36,25,20,32,113,4,28,28,21,42,119,30,21,18,69,3,22,42,6,38,24,17,4,35,28,19,4,33,23,21,36,113,43,25,21,42,131,33,26,22,81,4,21,36,5,48,27,22,44,141,6,31,25,23,4,38,27,23,42,130,5,22,38,6,28,20,66,4,28,19,23,3,31,23,20,74,3,34,22,23,79,4,35,24,39,119,21,39,6,31,15,61,2,28,23,22,73,3,548,47,25,93,5,56,20,20,39,27,21,26,113,4,20,35,5,20,44,65,6,39,21,60,4,40,20,21,81,4,70,25,21,116,6,70,28,21,39,158,6,22,42,6,70,22,20,112,6,67,24
W36,54,27,25,6,44,20,21,47,21,22,40,130,5,36,28,23,38,125,41,22,21,84,4,21,38,5,60,29,25,6,28,28,24,4,40,23,19,35,117,32,25,22,38,117,28,28,22,78,4,18,40,5,47,26,21,43,137,5,33,24,23,4,37,29,24,43,133,5,24,43,6,35,28,86,4,40,28,23,5,35,24,24,83,4,39,27,23,89,5,35,27,43,128,21,42,6,28,26,78,4,28,24,22,74,3,614,45,26,92,5,43,23,23,41,23,24,39,127,5,21,45,6,24,47,71,6,47,17,64,4,35,22,22,79,4,70,23,20,113,6,60,24,22,46,152,6,22,42,6,70,26,24,120,6,70,27
W29,50,21,24,5,45,24,17,38,27,23,38,126,5,44,26,24,33,127,45,22,19,86,4,22,44,6,61,28,25,6,44,29,24,5,46,20,19,32,117,59,26,23,43,151,36,28,23,87,4,24,46,6,49,25,22,47,143,6,35,27,23,4,46,26,24,43,139,5,22,42,6,44,24,89,5,43,25,21,5,50,25,24,99,5,45,29,24,98,5,45,26,39,131,22,38,6,39,23,80,4,38,22,21,81,4,641,48,24,92,5,50,25,23,48,28,23,40,139,5,20,44,6,21,45,68,6,49,26,75,5,55,26,23,104,6,70,26,22,118,6,70,28,24,48,170,6,23,44,6,70,26,23,119,6,70,25
W43,24,20,16,1,32,19,16,11,22,19,22,74,1,37,24,16,23,100,28,19,16,63,4,16,27,3,37,19,16,3,29,21,18,4,28,20,19,24,91,34,21,17,33,105,28,20,17,65,4,16,15,2,32,15,18,38,103,3,19,20,21,1,33,23,19,35,110,4,21,28,5,36,24,81,4,42,18,16,4,17,23,20,60,1,28,21,21,70,3,32,21,32,104,17,35,5,30,12,53,3,28,19,17,64,4,480,19,18,52,1,37,18,16,41,17,21,25,104,3,12,30,3,23,45,65,6,28,16,44,3,29,18,14,61,2,70,22,18,110,6,70,20,21,32,143,6,21,35,5,68,19,19,106,6,70,28
O91,18,22,20,1,28,26,20,36,21,19,40,116,4,35,19,18,39,111,38,19,22,79,4,22,39,6,28,18,18,4,24,17,13,2,30,17,15,42,104,33,14,15,40,102,33,18,20,71,3,18,38,5,30,24,20,36,110,4,31,24,20,4,21,23,21,40,105,1,13,12,1,32,20,69,3,28,20,17,4,28,25,21,74,3,40,25,21,86,4,40,24,40,124,21,33,5,29,22,69,3,32,27,24,83,4,584,29,26,77,4,46,26,22,37,28,23,41,129,5,21,44,6,23,47,70,6,31,29,60,4,31,27,22,80,4,70,27,23,120,6,70,27,23,48,168,6,22,46,6,67,28,24,119,6,54,27
O16,28,27,23,4,35,23,19,28,21,17,36,102,3,37,22,18,23,100,33,20,18,71,3,21,36,5,28,21,18,4,13,18,14,1,33,22,18,29,102,32,14,11,25,82,22,13,14,49,1,22,32,5,36,21,17,12,86,1,22,25,21,1,18,25,21,36,100,1,17,15,1,30,22,70,3,34,22,18,3,23,24,20,67,1,26,25,21,72,1,31,23,35,108,15,29,3,19,25,64,1,31,25,21,77,4,509,29,24,73,3,40,25,22,32,24,20,39,115,4,20,39,5,22,48,70,6,29,25,54,4,34,26,22,82,4,70,26,22,118,6,70,28,22,47,167,6,21,44,6,70,28,22,120,6,70,26
O29,20,22,24,1,33,25,22,36,21,19,22,98,3,38,20,21,36,115,44,23,23,90,5,21,38,5,34,30,24,5,17,16,17,1,35,23,17,39,114,36,21,21,42,120,33,19,20,72,3,22,37,5,49,28,23,34,134,5,34,29,24,4,28,25,23,37,113,4,22,37,6,45,28,96,5,35,28,23,4,41,29,24,94,5,45,26,22,93,5,44,27,37,130,22,39,6,44,28,95,5,45,28,24,97,5,670,47,25,93,5,48,27,23,46,29,24,47,146,6,24,43,6,21,48,69,6,47,24,71,5,40,29,24,93,5,70,29,23,122,6,70,28,23,47,168,6,24,46,6,70,29,24,123,6,70,29
W52,15,21,25,1,31,25,20,30,24,22,38,114,4,35,24,24,43,126,23,21,20,64,1,20,36,5,40,25,21,4,33,28,22,4,28,27,23,23,101,39,25,21,36,121,39,27,24,90,5,23,39,6,52,29,24,45,150,6,29,26,23,4,40,24,23,41,128,5,21,42,6,29,26,75,4,40,23,22,4,30,27,23,80,4,41,29,24,94,5,48,27,45,143,24,45,6,33,16,64,4,36,25,22,83,4,626,39,25,85,4,46,24,22,46,29,24,38,137,5,22,40,6,20,44,68,6,31,18,49,2,55,24,24,103,6,70,28,23,121,6,67,25,24,48,164,6,23,44,6,70,22,22,114,6,70,28
O5,28,28,22,4,55,27,23,36,24,22,34,116,4,48,25,22,44,139,46,28,24,98,5,23,40,6,31,28,24,4,35,21,18,3,36,23,17,40,116,44,19,22,41,126,40,26,22,88,5,23,43,6,50,29,24,45,148,6,41,28,23,5,36,27,22,40,125,5,24,34,6,42,28,93,5,37,28,23,5,30,28,23,81,4,38,28,23,89,5,38,29,42,133,23,43,6,41,28,92,5,37,27,24,88,5,642,48,28,99,5,47,27,23,41,29,24,46,140,6,22,46,6,23,38,61,6,38,26,64,4,37,28,23,88,5,70,29,24,123,6,70,29,24,48,171,6,24,46,6,70,29,24,123,6,70,29
O58,49,27,23,5,55,25,23,47,26,24,48,145,6,37,28,24,44,133,42,23,21,86,4,23,46,6,30,26,20,4,51,20,21,5,45,26,22,41,134,29,27,22,45,123,39,17,21,77,4,24,45,6,40,27,22,35,124,5,34,25,21,4,39,22,22,38,121,4,21,40,6,34,24,78,4,40,24,20,4,32,26,22,80,4,42,28,23,93,5,40,27,43,132,16,40,5,34,28,85,4,35,28,23,86,4,616,36,24,80,4,41,26,22,36,25,21,41,123,5,22,44,6,22,46,68,6,35,25,60,4,45,24,20,89,5,70,27,21,118,6,70,26,21,46,163,6,24,48,6,67,27,22,116,6,70,27
W77,51,28,25,6,55,23,22,51,24,23,45,143,6,44,27,22,43,136,45,22,21,88,5,23,44,6,53,30,24,6,31,26,23,4,45,25,21,40,131,46,26,23,49,144,47,28,24,99,5,21,41,6,46,26,23,47,142,6,37,27,23,4,45,26,23,39,133,5,22,42,6,33,29,86,4,37,28,23,5,34,25,24,83,4,43,28,22,93,5,58,25,46,151,21,42,6,35,29,88,5,37,28,24,89,5,664,40,28,92,5,46,26,23,39,24,22,45,130,5,22,43,6,21,38,71,6,44,25,69,4,39,28,23,90,5,70,26,21,117,6,70,26,22,41,159,6,22,45,6,70,25,23,118,6,70,27
W42,41,27,19,4,41,26,18,38,23,20,36,117,4,43,25,23,39,130,RR,24,21,RR,1,23,43,6,37,23,20,4,52,27,23,6,40,21,20,34,115,39,26,22,44,131,30,27,23,80,4,22,35,5,45,23,21,40,129,5,33,27,24,4,41,26,24,42,133,5,23,43,6,40,26,88,5,39,25,22,4,36,26,23,85,4,37,23,23,83,4,33,26,45,126,23,43,6,28,20,67,4,38,22,19,79,4,599,33,25,79,4,31,23,21,36,25,22,42,125,5,22,44,6,21,40,64,6,35,19,54,4,37,24,21,82,4,63,24,20,107,6,70,25,23,36,154,6,22,46,6,70,25,21,116,6,70,20
O30,34,24,22,4,47,27,22,40,24,21,32,117,4,43,26,22,43,134,30,26,24,80,4,23,47,6,34,30,24,5,28,26,20,3,46,20,20,44,130,41,26,24,47,138,34,18,23,75,4,22,43,6,43,29,24,40,136,5,34,29,24,4,28,29,24,38,119,4,20,35,5,32,28,83,4,43,28,23,5,41,29,24,94,5,40,26,22,88,5,45,29,48,146,22,38,6,29,29,82,4,28,29,24,81,4,650,41,28,92,5,32,29,24,39,26,22,48,135,5,23,46,6,23,46,69,6,29,29,58,3,34,26,21,81,4,70,28,24,122,6,70,28,24,47,169,6,23,46,6,63,28,24,115,6,70,28
O14,29,29,24,4,33,29,23,39,23,23,42,127,5,58,22,22,46,148,47,28,24,99,5,23,45,6,28,30,24,4,47,29,24,6,41,28,24,47,140,34,22,24,47,127,43,28,24,95,5,24,46,6,44,26,21,44,135,5,44,25,21,5,37,27,20,40,124,5,21,42,6,30,25,76,4,25,25,21,3,41,28,23,92,5,44,28,23,95,5,48,28,44,143,23,44,6,42,27,91,5,36,28,24,88,5,670,39,25,85,4,31,28,23,44,25,21,46,136,5,22,48,6,21,46,67,6,38,24,62,4,33,27,22,82,4,70,29,21,120,6,68,29,21,48,166,6,24,48,6,70,27,21,118,6,49,29
